"er","Ks","of","er.Ks","er.of","Ks.of","er-Ks-of"
0.0105063102645381,0.944594648387022,0.0160659418609425,0.00360749618259417,0.00817990941501154,0.0146925007672132,0.00235319312267845
0.0260960995834345,0.938427395843533,0.00511199507507434,0.00874125761643702,0.00732066292674039,0.00825525748187722,0.00604733147290359
0.0239616689841703,0.85123043883073,0.0430496550108326,0.0269526758632721,0.0108660110927776,0.0357907960095898,0.0081487542086276
0.081366081775263,0.838962504547969,0.0521716039801116,0.00326932220535865,0.00785815676434208,0.0104405561063653,0.00593177462059047
0.018409611553201,0.885833604121031,0.0319677363776186,0.0202645843479209,0.0142719446301754,0.0248291507441086,0.00442336822594458
0.0172820308489468,0.891193438786948,0.0346677551671989,0.0206048317810996,0.0137552040677858,0.0146162134128502,0.00788052593517063
0.0100707127440761,0.881792355003537,0.0873620824904869,0.00498187796623575,0.00777556110143693,0.00265742329354171,0.00535998740068555
0.0117226130167345,0.90187002611805,0.0447766489710639,0.0213151003926688,0.00955958806488249,0.0058825341496951,0.00487348928690523
0.024861990052501,0.921031461273318,0.00428337507340785,0.00954021730166116,0.0147649503658498,0.0202348944772436,0.00528311145601856
0.00904475392914464,0.931252779855631,0.0251857739995429,0.00819113067673844,0.00976373072201543,0.0111004339832423,0.00546139683368529
0.00942287932107003,0.941729645498648,0.0144310549232875,0.0108458422903873,0.00400655632394885,0.0160731127809602,0.00349090886169812
0.0388562004377881,0.908123574414226,0.0116749116909838,0.00562574013063562,0.0161220419518691,0.0120306708848306,0.00756686048966682
0.00485086298799442,0.905764829435791,0.0392574010167057,0.0306478608133964,0.00719343581128557,0.00635056569169518,0.00593504424313174
0.0322136152830364,0.882251940033023,0.0199232462519401,0.0255192823518073,0.0117176405370862,0.0185465163599446,0.00982775918316237
0.00402758764758879,0.881773046066946,0.0600101337325295,0.00247156800947645,0.0285262142082463,0.0126467123326568,0.0105447380025562
0.0202017524934312,0.925193282994016,0.0151823049990933,0.0117191004857648,0.00698615529714137,0.0115473739790921,0.0091700297514612
0.00971477802457636,0.847622322408197,0.0958814118595914,0.0261208313764989,0.00515080909153716,0.00701372634437972,0.00849612089521945
